key,data_source,species_reported,experiment_plant_id,experiment_matrix_id,experiment_treatment,experiment_day,plant_height,leaf_n,leaf_scar_n,flower_bud_n,flower_n,flower_day_rate,flowering_presence,flowering_first_day,flowering_peak_day
CS2024_000049,experiment,Chamaecrista_latistipula,P11_d,P11,rhizobium_present_sand_soil,113,0.68,36,5,2,NA,NA,TRUE,149,220
CS2024_000050,experiment,Chamaecrista_latistipula,P12_d,P12,rhizobium_present_sand_soil,113,0.875,57,6,0,NA,NA,TRUE,162,220
CS2024_000051,experiment,Chamaecrista_latistipula,P16_d,P16,rhizobium_present_sand_soil,113,1.21,115,9,18,NA,NA,TRUE,149,220
CS2024_000052,experiment,Chamaecrista_latistipula,P18_d,P18,rhizobium_present_sand_soil,113,0.83,44,3,0,NA,NA,TRUE,162,220
CS2024_000053,experiment,Chamaecrista_latistipula,4109_d,4109,rhizobium_present_sand_soil,113,1.15,137,5,20,NA,NA,TRUE,149,162
CS2024_000054,experiment,Chamaecrista_latistipula,1999_d,1999,rhizobium_present_sand_soil,113,1.13,125,5,12,NA,NA,TRUE,149,162
CS2024_000055,experiment,Chamaecrista_latistipula,1979_d,1979,rhizobium_present_sand_soil,113,1.12,70,10,16,NA,NA,TRUE,149,162
CS2024_000056,experiment,Chamaecrista_latistipula,2139_d,2139,rhizobium_present_sand_soil,113,1.01,53,8,6,NA,NA,TRUE,149,220
CS2024_000057,experiment,Chamaecrista_latistipula,2137_d,2137,rhizobium_present_sand_soil,113,0.61,26,7,0,NA,NA,TRUE,162,220
CS2024_000058,experiment,Chamaecrista_latistipula,1989_d,1989,rhizobium_present_sand_soil,113,1.11,107,5,22,NA,NA,TRUE,149,162
CS2024_000059,experiment,Chamaecrista_latistipula,1947_d,1947,rhizobium_present_sand_soil,113,1.04,94,4,15,NA,NA,TRUE,149,220
CS2024_000060,experiment,Chamaecrista_latistipula,2191_d,2191,rhizobium_present_sand_soil,113,0.765,45,7,0,NA,NA,TRUE,162,220
CS2024_000061,experiment,Chamaecrista_latistipula,P14_a,P14,rhizobium_absent_organic_matter,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000062,experiment,Chamaecrista_latistipula,P06_a,P06,rhizobium_absent_organic_matter,149,NA,NA,NA,0,0,0,TRUE,220,220
CS2024_000063,experiment,Chamaecrista_latistipula,P12_a,P12,rhizobium_absent_organic_matter,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000064,experiment,Chamaecrista_latistipula,P18_a,P18,rhizobium_absent_organic_matter,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000065,experiment,Chamaecrista_latistipula,1999_a,1999,rhizobium_absent_organic_matter,149,NA,NA,NA,3,0,0,FALSE,NA,NA
CS2024_000066,experiment,Chamaecrista_latistipula,2139_a,2139,rhizobium_absent_organic_matter,149,NA,NA,NA,3,0,0,TRUE,162,162
CS2024_000067,experiment,Chamaecrista_latistipula,1989_a,1989,rhizobium_absent_organic_matter,149,NA,NA,NA,0,0,0,TRUE,220,220
CS2024_000068,experiment,Chamaecrista_latistipula,2191_a,2191,rhizobium_absent_organic_matter,149,NA,NA,NA,1,0,0,TRUE,220,220
CS2024_000069,experiment,Chamaecrista_latistipula,P13_a,P13,rhizobium_absent_organic_matter,149,NA,NA,NA,0,0,0,TRUE,220,220
CS2024_000070,experiment,Chamaecrista_latistipula,P20_a,P20,rhizobium_absent_organic_matter,149,NA,NA,NA,0,0,0,TRUE,450,450
CS2024_000071,experiment,Chamaecrista_latistipula,P11_a,P11,rhizobium_absent_organic_matter,149,NA,NA,NA,0,0,0,TRUE,162,162
CS2024_000072,experiment,Chamaecrista_latistipula,P16_a,P16,rhizobium_absent_organic_matter,149,NA,NA,NA,2,0,0,TRUE,162,162
CS2024_000073,experiment,Chamaecrista_latistipula,4109_a,4109,rhizobium_absent_organic_matter,149,NA,NA,NA,2,3,1,TRUE,149,149
CS2024_000074,experiment,Chamaecrista_latistipula,1979_a,1979,rhizobium_absent_organic_matter,149,NA,NA,NA,1,0,0,TRUE,162,162
CS2024_000075,experiment,Chamaecrista_latistipula,2137_a,2137,rhizobium_absent_organic_matter,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000076,experiment,Chamaecrista_latistipula,1947_a,1947,rhizobium_absent_organic_matter,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000077,experiment,Chamaecrista_latistipula,P14_b,P14,rhizobium_absent_sand_soil,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000078,experiment,Chamaecrista_latistipula,P06_b,P06,rhizobium_absent_sand_soil,149,NA,NA,NA,0,0,0,FALSE,NA,NA
